id,rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area,views
1010221205,550440,47500000,Алматы,43.243553,76.815003,1,2.6,свежий ремонт Дверь металлическая,монолитный,2012,3,9,4,167
1009981116,902020,62900000,Алматы,43.254227366261,76.900956447746,2,2,свободная планировка,монолитный,2026,4,14,74,42
1009529622,633280,37200000,Алматы,43.274925298028,76.812481849283,1,2,черновая отделка,монолитный,2025,6,6,55,88
1009400247,694880,22500000,Алматы,43.221652990692,76.783323044547,1,2.7,черновая отделка,монолитный,2026,5,9,4,225
1009372127,580150,29999990,Астана,51.144223611993,71.379535748512,1,2,"не новый, но аккуратный ремонт",кирпичный,2021,7,9,7,31
1011435038,416460,45000000,Уральск,51.244176,51.439527,1,2,свежий ремонт Высота потолков 2.8 м Бывшее общежитие нет,кирпичный,2018,115,0
1010492996,659920,27500000,Астана,51.116471,71.393338,1,2.7,черновая отделка,монолитный,2021,19,22,38,51
1010464710,886210,50000000,Алматы,43.211306,76.848806,1,2,свежий ремонт,монолитный,2022,13,20,2,182
696984358,475650,53999999,Алматы,43.316553745472,76.897361561002,2,2.7,свежий ремонт,монолитный,2024,1,9,91,276
696984358,475650,53999999,Алматы,43.316553745472,76.897361561002,2,2.7,свежий ремонт,монолитный,2024,1,9,91,279
1011018200,864170,54500000,Алматы,43.217837,76.882592,1,2,свежий ремонт,монолитный,2025,9,9,44,50
1010747111,669420,22000000,Алматы,43.204070107671,76.787264123006,1,2,черновая отделка,монолитный,2026,6,9,5,317
1004412178,693100,18000000,Алматы,43.213914774889,76.789336410704,1,2.7,черновая отделка,монолитный,2025,9,9,4,104
1009108510,633280,32500000,Алматы,43.27437995465,76.809977059362,1,2.7,черновая отделка,монолитный,2025,3,6,45,100
1006635023,797240,37900000,Астана,51.109597638666,71.386837601677,1,3.2,черновая отделка,монолитный,2025,6,11,31,63
1006159473,971690,33000000,Алматы,43.266026844879,76.961599913202,1,2.7,черновая отделка,монолитный,2017,6,10,9,218
1011432262,611540,32500000,Астана,51.090358,71.454711,1,2.7,свежий ремонт,панельный,2018,14,17,6,25
1004412178,693100,18000000,Алматы,43.213914774889,76.789336410704,1,2.7,черновая отделка,монолитный,2025,9,9,4,104
1009108510,633280,32500000,Алматы,43.27437995465,76.809977059362,1,2.7,черновая отделка,монолитный,2025,3,6,45,100
1006635023,797240,37900000,Астана,51.109597638666,71.386837601677,1,3.2,черновая отделка,монолитный,2025,6,11,31,63
1006159473,971690,33000000,Алматы,43.266026844879,76.961599913202,1,2.7,черновая отделка,монолитный,2017,6,10,9,218
1005669190,685720,19000000,Алматы,43.208658,76.829214,1,2.75,"не новый, но аккуратный ремонт Санузел совмещенный",монолитный,2022,2,3,4,149
699766481,828250,62000000,Алматы,43.246470723123,76.854735032837,2,2.8,свежий ремонт,монолитный,2023,1,9,90,211
681742392,483800,39500000,Астана,51.127664,71.504118,1,2,свежий ремонт,кирпичный,2013,4,10,7,146
673032933,906220,87500000,Алматы,43.230549,76.876331,2,2,свежий ремонт,монолитный,2022,1,16,6,211
1011188233,694880,22000000,Алматы,43.221128225175,76.782937732332,1,2.7,черновая отделка,монолитный,2026,1,9,40,42
1010525958,646950,33900000,Алматы,43.223599,76.781091,1,2.7,свежий ремонт,монолитный,2023,3,10,71,85
1010480891,718680,33000000,Астана,51.111981,71.523225,1,2.7,черновая отделка,монолитный,2022,6,9,5,17
1010222501,607120,25000000,Астана,51.166387714088,71.455053047273,1,2,черновая отделка,монолитный,2022,11,12,37,62
699871501,657130,30990000,Алматы,43.32762,76.922702,1,2.7,"не новый, но аккуратный ремонт Санузел раздельный",панельный,1985,5,5,45,145
1010835555,652560,62000000,Астана,51.111582830266,71.402256272412,2,2,черновая отделка,кирпичный,2000,2,12,80,84
1007894090,880850,45000000,Алматы,43.215314,76.880876,1,2.7,черновая отделка,монолитный,2023,15,17,1,225
761868310,646950,33500000,Алматы,43.207771,76.788601,1,2.7,черновая отделка,монолитный,2024,8,10,52,101
1009102266,668160,23880000,Астана,51.063195,71.404234,1,3.7,черновая отделка,кирпичный,2020,1,7,44,219
760456153,659220,27000000,Алматы,43.207508,76.868165,1,2,черновая отделка,кирпичный,1966,2,2,7,41
692418546,758900,43000000,Астана,51.12675759103,71.421359888606,1,2,черновая отделка,монолитный,2021,12,16,5,25
690770022,787170,43500000,Астана,51.117176540572,71.389954090118,1,2.72,свежий ремонт,монолитный,2023,2,9,75,302
1010312698,846910,43900000,Алматы,43.254327005514,76.863386513935,1,2.8,черновая отделка,монолитный,2024,10,13,70,310
1008719538,891080,30500000,Алматы,43.252280219112,76.863031211864,1,2,черновая отделка,монолитный,2025,6,13,1,15
1008455508,638080,37000000,Алматы,43.226844,76.797638,1,2.8,черновая отделка,монолитный,1990,5,5,55,301
